"",,Side,Adjudicators
"🕶Alaska 1",2nd,Closing Opposition,"Da'Von BoydC, Andrew Kao, Daniela Lacalle, Ryan Keane"
"🍠Alaska 2",3rd,Opening Government,"Isaac BothamC, Eleanor Atkinson, Ella Henry, Lucy Augustine"
"🥖Alaska 3",2nd,Opening Opposition,"Rebecca SietmanC, Kelsea Schulenberg, Matt Stannard, Kendall RossT"
"🖥Alaska 4",4th,Closing Government,"Katrina BurletC, Logan Bishop, Miranda Zigler, zach muraskin"
"👽Ball State 1",3rd,Opening Government,"Jason WoodsC, Angelynn Nguyen, Olivia Gainer, Yiwen LuT"
"🚃Ball State 2",3rd,Opening Government,"Chris MorilloC, Robert A. Brown, Taaha Waseem, Valeria Leon, Bryce ReherT"
"🛰Ball State 3",3rd,Opening Government,"Leo GragedaC, Joshua Harper, Vighnesh Mehrotra"
"🤒Bard 1",2nd,Closing Government,"Vincent KoonC, David Steinberg, Sophie LaRose"
"👠Bard 3",3rd,Closing Opposition,"Micaela LewisC, John Rief, Will Forsyth"
"⚠Bard 4",4th,Opening Opposition,"Josef MoscoviciC, Chris Gooding, Victor Hom, Rebecca PoolT"
"🗡Bates 1",2nd,Closing Government,"Buzz KlingerC, Becca Poliquin, Kate Hamm"
"🐿Bates 2",1st,Closing Government,"Brian WongC, Delaney Hurley, Teddy Wyman"
"🏀Berkeley 1",3rd,Opening Government,"Steve JohnsonC, AJ Carver, Harry Wang, Rachel Dames"
"🔌Berkeley 2",1st,Closing Opposition,"Aodh Ó LaoideC, Asher Lipman, Samantha Ross"
"🦀Berkeley 3",2nd,Opening Opposition,"Chris MorilloC, Robert A. Brown, Taaha Waseem, Valeria Leon, Bryce ReherT"
"💫Berkeley 4",1st,Closing Government,"Maya CaselnovaC, Alex Loeb, Carina Masters, Macarena Cañardo, Nathan Burns"
"🥒Brown 1",3rd,Opening Opposition,"Johanna RichterC, Natalie Lyell, Syed Reefat Aziz, Ben KochT"
"🐦Carroll 1",3rd,Opening Government,"Niki LinganurC, JoAnn Edwards, Robert Jones"
"🏥Carroll 2",3rd,Opening Opposition,"Vincent KoonC, David Steinberg, Sophie LaRose"
"🥛Carroll 3",2nd,Opening Opposition,"Jason WoodsC, Angelynn Nguyen, Olivia Gainer, Yiwen LuT"
"🙊Carroll 4",2nd,Opening Government,"Josef MoscoviciC, Chris Gooding, Victor Hom, Rebecca PoolT"
"📱Chicago 1",1st,Closing Opposition,"Niki LinganurC, JoAnn Edwards, Robert Jones"
"🌳Chicago 2",2nd,Opening Opposition,"Niki LinganurC, JoAnn Edwards, Robert Jones"
"🏐Chicago 3",2nd,Closing Government,"Miranda KerriganC, Andrew Davis, Isabella Sorial, Sarah DumaresqT"
"☁Chicago 4",1st,Closing Opposition,"Senkai HsiaC, Anna Ehli, Gavin Gill, Katie Zhang, Edwin OwusuT"
"💘Chicago 5",1st,Closing Government,"Isaac BothamC, Eleanor Atkinson, Ella Henry, Lucy Augustine"
"💧Claremont 1",1st,Opening Government,"Jevon HenryC, Elaina Taylor, John Steinberg"
"🎱Claremont 2",3rd,Opening Opposition,"Nikola MichaylovC, Kelsey Schott, Lauren Blackwelder, Thomas Liu"
"🐰Claremont 3",4th,Closing Opposition,"Jason WoodsC, Angelynn Nguyen, Olivia Gainer, Yiwen LuT"
"✂Clemson 1",4th,Closing Opposition,"Anoosha ZakiC, Adam Chih, Dixsheta Muralikrishnan, Anna HoernerT"
"🛸Clemson 2",4th,Closing Opposition,"Jevon HenryC, Elaina Taylor, John Steinberg"
"🤡Clemson 3",2nd,Closing Government,"Gizem HussainC, Alex Anderson, Ivan Ramirez, Branndon EvansT"
"",,Side,Adjudicators
"🌊William & Mary 2",3rd,Closing Government,"Jevon HenryC, Elaina Taylor, John Steinberg"
"⚖William & Mary 3",4th,Closing Opposition,"Nikola MichaylovC, Kelsey Schott, Lauren Blackwelder, Thomas Liu"
"🥬Williams 1",3rd,Opening Opposition,"Klaudia MaciejewskaC, Jennifer Yang, Joe Gantt"
"💼Wisconsin 1",1st,Closing Opposition,"Leo GragedaC, Joshua Harper, Vighnesh Mehrotra"
"💯Wisconsin 2",3rd,Closing Opposition,"Katrina BurletC, Logan Bishop, Miranda Zigler, zach muraskin"
"🍑Wyoming 1",1st,Closing Opposition,"Katerina ZhuravelC, Christina Wang, Desiree Diaz, Kate Thomas"
"😣Wyoming 2",4th,Opening Opposition,"Maya CaselnovaC, Alex Loeb, Carina Masters, Macarena Cañardo, Nathan Burns"
